Date,Description,Amount,Category
2024-01-01,Starbucks Coffee,-5.50,Dining
2024-01-02,Grocery Store,-45.20,Groceries
2024-01-03,Gas Station,-32.10,Transportation
2024-01-04,Netflix Subscription,-15.99,Entertainment
2024-01-05,Salary Deposit,3000.00,Income
2024-01-06,Uber Ride,-12.50,Transportation
2024-01-07,Amazon Purchase,-89.99,Shopping
2024-01-08,Electric Bill,-85.00,Utilities
2024-01-09,Coffee Shop,-4.25,Dining
2024-01-10,Grocery Store,-52.30,Groceries
2024-01-11,Gym Membership,-29.99,Fitness
2024-01-12,Restaurant,-67.45,Dining
2024-01-13,Gas Station,-28.75,Transportation
2024-01-14,Spotify Subscription,-9.99,Entertainment
2024-01-15,Target Shopping,-125.60,Shopping
2024-01-16,Phone Bill,-65.00,Utilities
2024-01-17,Coffee,-3.75,Dining
2024-01-18,Grocery Store,-38.90,Groceries
2024-01-19,Movie Theater,-24.00,Entertainment
2024-01-20,Gas Station,-31.25,Transportation
2024-01-21,Restaurant,-45.80,Dining
2024-01-22,Amazon Prime,-14.99,Subscriptions
2024-01-23,Grocery Store,-41.15,Groceries
2024-01-24,Uber Eats,-23.50,Dining
2024-01-25,Gas Station,-29.80,Transportation
2024-01-26,Clothing Store,-78.90,Shopping
2024-01-27,Coffee Shop,-5.25,Dining
2024-01-28,Grocery Store,-49.75,Groceries
2024-01-29,Internet Bill,-55.00,Utilities
2024-01-30,Gas Station,-33.45,Transportation
2024-01-31,Restaurant,-58.20,Dining
